Datum Uhrzeit;2b34a1cfcd07474cb0a5952dd3fbb6fe_HZG_HZG_NoSub2_AUS_KUEW_AL_AF_1;9e3e7e91885649e0b13b34a2d52d9c59_HZG_HZG_NoSub2_AUS_KUEW_AL_AF_1;9be7b001aaef4cb3be87651cd5ed1344_HZG_HZG_NoSub2_AUS_ABL_AL_AF_1;ee987a324a344488b38804590da47cbe_HZG_HZG_NoSub2_AUS_ABL_AL_AF_1
5-12-2016 00:00:00;1;2;3;4
5-12-2016 01:00:00;2;4;3;7
5-12-2016 03:00:00;5;7;8;4
5-12-2016 04:00:00;2;8;7;7
5-12-2016 05:00:00;3;5;5;5
5-12-2016 06:00:00;4;4;1;2
5-12-2016 07:00:00;8;2;2;0
5-12-2016 08:00:00;4;1;3;1
5-12-2016 09:00:00;7;3;4;1
5-12-2016 10:00:00;8;7;6;2
5-12-2016 11:00:00;9;8;7;5
5-12-2016 12:00:00;0;9;9;2
